Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-26,2016,4,26,Tuesday,17,2016-17,744.42,745.59,720.32,725.37,2793200,725.37,-0.022689031887108024,763.7821428571427,748.2274000000001
2016-04-27,2016,4,27,Wednesday,17,2016-17,725.32,727.15,709.08,721.46,3313100,721.46,-0.005390315522907141,761.0207142857143,748.3038
2016-04-28,2016,4,28,Thursday,17,2016-17,723.29,729.26,703.2,705.06,3129500,705.06,-0.02273171612367464,757.1342857142856,747.7656
2016-04-29,2016,4,29,Friday,17,2016-17,704.12,712.11,703.78,707.88,2913900,707.88,0.003999670005366385,753.5871428571428,747.5729999999999
2016-05-02,2016,5,2,Monday,18,2016-18,711.92,715.41,706.36,714.41,1673800,714.41,0.009224682455608813,750.0221428571429,747.4190000000001
2016-05-03,2016,5,3,Tuesday,18,2016-18,712.5,713.37,707.33,708.44,1931000,708.44,-0.008356505266643666,745.4885714285714,747.0068000000001
2016-05-04,2016,5,4,Wednesday,18,2016-18,706.77,715.05,704.05,711.37,1708600,711.37,0.004135837425447431,740.9157142857142,746.8883999999999
2016-05-05,2016,5,5,Thursday,18,2016-18,715.0,717.55,709.45,714.71,1483400,714.71,0.004695203450236329,736.2521428571428,746.7646
2016-05-06,2016,5,6,Friday,18,2016-18,712.2,725.99,711.95,725.18,1997600,725.18,0.014649256875154837,731.7878571428572,746.6858
2016-05-09,2016,5,9,Monday,19,2016-19,726.7,734.29,723.5,729.13,1903700,729.13,0.0054469404105543795,728.4221428571428,746.7712000000001
2016-05-10,2016,5,10,Tuesday,19,2016-19,734.96,740.0,731.61,739.38,1631700,739.38,0.01405784967201762,725.8835714285715,747.2144000000001
2016-05-11,2016,5,11,Wednesday,19,2016-19,740.52,740.8,727.9,730.55,1491700,730.55,-0.011942461293963813,722.3514285714285,746.9820000000001
2016-05-12,2016,5,12,Thursday,19,2016-19,732.0,735.37,724.27,728.07,1354700,728.07,-0.0033946759430414364,721.6585714285713,746.7538000000001
2016-05-13,2016,5,13,Friday,19,2016-19,726.62,731.29,723.51,724.83,1262200,724.83,-0.004450108096448746,720.4171428571428,746.6186
2016-05-16,2016,5,16,Monday,20,2016-20,724.32,732.68,720.0,730.3,1126900,730.3,0.00754655653622982,720.7692857142857,746.6202000000001
2016-05-17,2016,5,17,Tuesday,20,2016-20,731.06,735.85,718.0,720.19,1670200,720.19,-0.013843606080448878,720.6785714285714,746.768
2016-05-18,2016,5,18,Wednesday,20,2016-20,718.5,725.57,715.02,721.78,1626800,721.78,0.0022077880143831496,721.8728571428571,746.933
2016-05-19,2016,5,19,Thursday,20,2016-20,718.3,720.5,710.31,715.31,1529900,715.31,-0.008963993842534101,722.4035714285716,746.7309999999999
2016-05-20,2016,5,20,Friday,20,2016-20,716.46,727.7,715.01,721.71,1739900,721.71,0.008947203919847713,722.9250000000001,746.5218
2016-05-23,2016,5,23,Monday,21,2016-21,719.98,723.5,716.94,717.25,1240800,717.25,-0.006179797753764871,723.5542857142857,745.9694000000001
2016-05-24,2016,5,24,Tuesday,21,2016-21,719.85,734.2,719.65,733.03,1894200,733.03,0.02200073795311952,725.1014285714285,745.6252
2016-05-25,2016,5,25,Wednesday,21,2016-21,735.0,739.89,732.6,738.1,1610800,738.1,0.006916423729496524,726.7721428571429,745.3758
2016-05-26,2016,5,26,Thursday,21,2016-21,736.0,741.1,733.0,736.93,1360100,736.93,-0.0015851279621401648,727.6114285714285,744.9672
2016-05-27,2016,5,27,Friday,21,2016-21,737.51,747.91,737.01,747.6,1740100,747.6,0.014478964102700775,728.9307142857143,744.7496000000001
2016-05-31,2016,5,31,Tuesday,22,2016-22,748.76,753.48,745.57,748.85,2124200,748.85,0.001672017176057583,729.6071428571429,744.6184
2016-06-01,2016,6,1,Wednesday,22,2016-22,748.47,751.37,744.34,748.46,1039400,748.46,-0.0005207366308266348,730.8864285714286,744.3444000000001
2016-06-02,2016,6,2,Thursday,22,2016-22,746.1,747.3,737.0,744.27,1695800,744.27,-0.005598164655959859,732.0435714285715,744.0288
